No,Nama,Rating,Comments,Link
1,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,1,"Bener bener ga berfungsi ccd bgt, gada qc nya sama sekali main kirim aja",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
2,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,1,Minta USB tipe c malah di kirim micro sungguh mengecewakan,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
3,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,1,"belom ada sebulan barang error, masih 2 bar tibatiba udah gabisa buat charger. ditanya klaim garansi gimana gadirespon, udah di chat penjualnya dikasi jeda buat nanggepin responnya tetep gaada tanggepan. mungkin karna udah banyak yg beli jadi gamasalah ya masalah 1 orang doang.",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
4,UNEED Powerbank 10000mAh Built in Cable Fast Charging 2.1A - UPB234,1,katanya 10.000mah. Masa cas iphone 11 cuma bisa 1x cas ?! barang jelek jgn di jual.,https://shopee.co.id/UNEED-Powerbank-10000mAh-Built-in-Cable-Fast-Charging-2.1A-UPB234-i.18856832.9418436523?sp_atk=14f1c394-c5d5-439f-878e-7d27778ab8cb&xptdk=14f1c394-c5d5-439f-878e-7d27778ab8cb
5,UNEED Powerbank 10000mAh Built in Cable Fast Charging 2.1A - UPB234,1,sama sekali tidak bisa dipakai. Sama aja dengan membeli barang rusak. Tidak bs dipakai untuk mengecas. Kecewa banget,https://shopee.co.id/UNEED-Powerbank-10000mAh-Built-in-Cable-Fast-Charging-2.1A-UPB234-i.18856832.9418436523?sp_atk=14f1c394-c5d5-439f-878e-7d27778ab8cb&xptdk=14f1c394-c5d5-439f-878e-7d27778ab8cb
6,Powerbank MOFIT M18 10.000mAh LCD + Fast Charge Real Capacity,1,"Kirain fast charging type c, ternyata type c ny gbsa dipake Penipuan yg baik🙃",https://shopee.co.id/Powerbank-MOFIT-M18-10.000mAh-LCD-Fast-Charge-Real-Capacity-i.184350063.6431370324?sp_atk=35c30058-5db8-4efb-ac10-6b5abb317a23&xptdk=35c30058-5db8-4efb-ac10-6b5abb317a23
7,Powerbank MOFIT M18 10.000mAh LCD + Fast Charge Real Capacity,1,"Sayang kabel datanya rusak/gak berfungsi, semoga lain kali dicek lagi sebelum dikirim,, walaupun gak terlalu jd masalah tetap aja harus pake kabel sendiri",https://shopee.co.id/Powerbank-MOFIT-M18-10.000mAh-LCD-Fast-Charge-Real-Capacity-i.184350063.6431370324?sp_atk=35c30058-5db8-4efb-ac10-6b5abb317a23&xptdk=35c30058-5db8-4efb-ac10-6b5abb317a24 
8,Powerbank MOFIT M18 10.000mAh LCD + Fast Charge Real Capacity,1,Yg dibutuhin type C biar fast charger eh ga berfungsi samasekali nyesel sih 100rb ngelayang type usb bisa ngecas namun ko tbtb suka off sndri ga paham,https://shopee.co.id/Powerbank-MOFIT-M18-10.000mAh-LCD-Fast-Charge-Real-Capacity-i.184350063.6431370324?sp_atk=35c30058-5db8-4efb-ac10-6b5abb317a23&xptdk=35c30058-5db8-4efb-ac10-6b5abb317a25 
9,Powerbank Baseus 10000mAh 20W / 15W Bipow Digital Display - PPDML-L,1,baru beli dan baru di pake sekali langsung rusak dan enggak bisaa buat ngecharger,https://shopee.co.id/Powerbank-Baseus-10000mAh-20W-15W-Bipow-Digital-Display-PPDML-L-i.272171531.16864874147?sp_atk=e318d814-481b-4909-b223-852b9641f73b&xptdk=e318d814-481b-4909-b223-852b9641f73b
10,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.0,1,kayaknya kapasitas tidak Real 10.000mah. karena bobotnya sangat enteng dan setelah saya buat nge-charge HP yg 4000mah tidak bisa terisi full sudah habis. sangat mengecewakan.,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
11,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.0,1,Brg lecet.. seperti sudah dipakai.. gak tau bekas atau gak.. tp body powerbank nya lecet2,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
12,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,1,"Kapasitas 10.000 mah ,di buat ngecas 1x baterai 5000 mah belum penuh udah mau habis, Kualitas tidak sesuai dengan kenyataan, Buruk sekali kualitasnya",https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
13,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,1,"Baru dipakai 1x langsung seperti ini, katanya barang original store... Sy klaim garansi, sy kirim balik barangnya ke mereka katanya 14 hari kerja, sampai detik ini blm ada kejelasan, percuma kalian berikan garansi klo begitu.... Beli power bank 10000mah seharga 170rb, official store, barang yg dikirim abal2 dan klaim garansi sampai saat ini tdak jelas.",https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
14,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,1,Pesan power bank yang tipe apa malah di kirim type lain. Lain x kalo mau ngirim barang mohon di cek dahulu. Pesanan saya tidak sesuai dengan yang saya terima. Alasan tidak mau ajukan kembalikan karena ribet banget harus ke kurir lagi.,https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
15,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,1,"Cuma bisa mengisi 50% iPhone 7 Plus dari 2% dan langsung habis isinya, Terimakasih.",https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
16,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,2,Barang sangat bgus... Proses pengiriman cpt,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
17,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,2,"ga bisa charge ke i phone , ga bs msk chargenya.. lampu idup tapi ga bs masuk .. pertama kali beli disini …😩biasa beli tk lain",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
18,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,2,pakai bentar tadi pagi udah habis setengah . bocor?,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
